Date,SPY,DIA,QQQ,VO,IWM,FEZ,EWG,EWQ,EWP,EWU,EWA,EWJ,EWL,EWZ,EWW,EWH,EWY,EWT,INDY,EWC,EWS,EWN,SPY_past_return,DIA_past_return,QQQ_past_return,VO_past_return,IWM_past_return,FEZ_past_return,EWG_past_return,EWQ_past_return,EWP_past_return,EWU_past_return,EWA_past_return,EWJ_past_return,EWL_past_return,EWZ_past_return,EWW_past_return,EWH_past_return,EWY_past_return,EWT_past_return,INDY_past_return,EWC_past_return,EWS_past_return,EWN_past_return,SPY_rolling_std,SPY_past_nday_return,SPY_ts_mom,DIA_rolling_std,DIA_past_nday_return,DIA_ts_mom,QQQ_rolling_std,QQQ_past_nday_return,QQQ_ts_mom,VO_rolling_std,VO_past_nday_return,VO_ts_mom,IWM_rolling_std,IWM_past_nday_return,IWM_ts_mom,FEZ_rolling_std,FEZ_past_nday_return,FEZ_ts_mom,EWG_rolling_std,EWG_past_nday_return,EWG_ts_mom,EWQ_rolling_std,EWQ_past_nday_return,EWQ_ts_mom,EWP_rolling_std,EWP_past_nday_return,EWP_ts_mom,EWU_rolling_std,EWU_past_nday_return,EWU_ts_mom,EWA_rolling_std,EWA_past_nday_return,EWA_ts_mom,EWJ_rolling_std,EWJ_past_nday_return,EWJ_ts_mom,EWL_rolling_std,EWL_past_nday_return,EWL_ts_mom,EWZ_rolling_std,EWZ_past_nday_return,EWZ_ts_mom,EWW_rolling_std,EWW_past_nday_return,EWW_ts_mom,EWH_rolling_std,EWH_past_nday_return,EWH_ts_mom,EWY_rolling_std,EWY_past_nday_return,EWY_ts_mom,EWT_rolling_std,EWT_past_nday_return,EWT_ts_mom,INDY_rolling_std,INDY_past_nday_return,INDY_ts_mom,EWC_rolling_std,EWC_past_nday_return,EWC_ts_mom,EWS_rolling_std,EWS_past_nday_return,EWS_ts_mom,EWN_rolling_std,EWN_past_nday_return,EWN_ts_mom,SPY10_day_return,DIA10_day_return,QQQ10_day_return,VO10_day_return,IWM10_day_return,FEZ10_day_return,EWG10_day_return,EWQ10_day_return,EWP10_day_return,EWU10_day_return,EWA10_day_return,EWJ10_day_return,EWL10_day_return,EWZ10_day_return,EWW10_day_return,EWH10_day_return,EWY10_day_return,EWT10_day_return,INDY10_day_return,EWC10_day_return,EWS10_day_return,EWN10_day_return,top
2013/1/2,122.8945,109.4692,61.6119,73.7621,76.9388,26.8965,20.5029,18.8752,22.2709,25.1748,17.0151,34.8064,22.403,42.2316,60.5126,15.1067,55.6281,22.13,23.0743,23.763,19.4454,17.4235,0.025630219,0.024429457,0.031781439,0.022682496,0.029438603,0.010386927,0.011739452,0.005508262,0.007600813,0.015047416,0.013926133,0.024603628,0.016045934,0.018232494,0.018857568,0.023170286,0.025538873,0.014686126,0.031714733,0.016546744,0.014609661,0.008286893,0.00898231,0.034756405,3.869428209,0.008063746,0.03140499,3.894590696,0.011564012,0.026935174,2.329223959,0.008549003,0.048694075,5.695877544,0.009744923,0.066659642,6.84044841,0.009244619,0.066124154,7.152718014,0.007245531,0.062497085,8.625604737,0.00838562,0.062691071,7.476020634,0.012284045,0.08068672,6.568416218,0.006168812,0.044636522,7.235837041,0.006178322,0.057626803,9.327257813,0.00816969,0.082844121,10.14042437,0.005184426,0.040504577,7.812741239,0.007808316,0.114749079,14.69575227,0.008340793,0.071008095,8.513351073,0.007722098,0.046895357,6.072877859,0.007507178,0.09576178,12.75602897,0.00682301,0.039718858,5.821310624,0.011039741,0.03605072,3.265540381,0.006190748,0.04073508,6.579992842,0.005363379,0.052838463,9.85171129,0.00671647,0.05214372,7.763560001,0.005771084,0.007365262,-0.005460084,0.013100687,0.007171553,0.002993308,-0.007791743,-0.0035241,0.041923937,-0.005936011,0.00683863,-0.020990187,0.019909813,-0.012048883,0.022078384,0.00453555,-0.04436044,-0.033529087,-0.014607101,0.004881919,-0.018261381,0.007692696,0.005771084
2013/1/3,122.6202,109.3547,61.2929,73.7709,76.7615,26.4818,20.183,18.5888,22.0299,24.9536,16.935,34.4921,22.1479,42.4998,60.4032,14.8939,54.6777,21.9058,22.9755,23.5572,19.2774,17.2129,-0.002231996,-0.001045956,-0.005177571,0.000119302,-0.002304429,-0.015418363,-0.015602671,-0.015173349,-0.010821296,-0.008786564,-0.004707583,-0.009029949,-0.011386868,0.006350695,-0.001807888,-0.014086465,-0.017084891,-0.010131044,-0.00428182,-0.008660523,-0.008639575,-0.012087124,0.008901071,0.037592573,4.22337651,0.007981057,0.034674047,4.344542917,0.011630694,0.023639971,2.03255039,0.008377942,0.054639887,6.521874787,0.009774588,0.065369909,6.687740761,0.010089247,0.046574953,4.616296003,0.008288828,0.041934468,5.059154991,0.009261515,0.042382101,4.576151947,0.012548224,0.074566367,5.942384116,0.006609679,0.033121357,5.011038314,0.006375404,0.051876421,8.136961746,0.008489358,0.077110684,9.083217275,0.005914307,0.024744252,4.183795707,0.007665436,0.123311061,16.08663389,0.008414882,0.065428671,7.775352372,0.008289853,0.039220475,4.731142379,0.008820892,0.076890201,8.716828436,0.007190294,0.033760571,4.695297738,0.011101069,0.032862056,2.960260529,0.006557376,0.033931558,5.174563617,0.005638726,0.049435743,8.767183736,0.007401558,0.034696466,4.687724497,0.014533783,0.015446986,0.004498084,0.022340019,0.018842167,0.031741195,0.022145356,0.02893483,0.068227966,0.006194668,0.016715283,-0.008031758,0.045761765,-0.00921955,0.027829399,0.023985741,-0.018831715,-0.021443945,0.005640067,0.017850606,-0.008980145,0.033225447,0.014533783
2013/1/4,123.1553,109.7066,61.0893,74.2696,77.3288,26.7122,20.2978,18.7081,22.3367,25.1333,17.0084,34.3545,22.3947,42.3947,60.841,14.9927,54.4551,21.8257,22.769,23.6889,19.2634,17.3477,0.004363881,0.003217969,-0.003321755,0.006760118,0.007390424,0.008700315,0.005687955,0.006417843,0.013926527,0.007201366,0.004334219,-0.003989319,0.011143269,-0.002472953,0.00724796,0.006633588,-0.00407113,-0.003656566,-0.008987835,0.005590647,-0.000726239,0.007831336,0.008886164,0.043596121,4.906067489,0.007959076,0.039313431,4.939446531,0.011666528,0.020861986,1.788191436,0.008416623,0.060853344,7.230137702,0.009808841,0.071955042,7.335733406,0.010129074,0.048030446,4.741839974,0.008272531,0.041243883,4.985642501,0.009185503,0.039835699,4.336801276,0.012692928,0.079401361,6.255559067,0.006722983,0.038802207,5.771576329,0.00638813,0.054254917,8.493083305,0.008626817,0.072234481,8.373248317,0.006290922,0.036163253,5.748482409,0.007734786,0.121662702,15.72929173,0.008464484,0.069506214,8.211511798,0.008207901,0.051094021,6.224980321,0.008930564,0.073345291,8.212839973,0.007261995,0.026179069,3.604941989,0.011303523,0.02647678,2.342347536,0.006564016,0.041567921,6.332696471,0.005660692,0.048405355,8.551137716,0.007499782,0.038075805,5.076921459,0.012377526,0.01521211,0.005597347,0.018341695,0.014230552,0.020542128,0.011924932,0.022795253,0.049637719,-0.002645071,0.010371734,-0.000513878,0.027996214,-0.006937698,0.018635364,0.019263431,-0.019062379,-0.014190919,0.024211343,0.013233439,-0.009711985,0.022288648,0.012377526
2013/1/7,122.8183,109.2565,61.108,74.0771,77.0363,26.6047,20.2404,18.6604,22.3002,25.078,16.955,34.0402,22.3947,42.1541,60.7147,15.0231,54.0013,21.5838,22.4997,23.6395,19.0814,17.3814,-0.002736382,-0.004102761,0.000306109,-0.002591908,-0.003782549,-0.004024378,-0.002827893,-0.002549698,-0.001634082,-0.002200268,-0.003139625,-0.009148729,0,-0.005675238,-0.002075903,0.002027653,-0.008333471,-0.011083264,-0.011827485,-0.002085365,-0.009447969,0.001942621,0.008948004,0.038901399,4.347494725,0.007984557,0.028294535,3.543657544,0.011334883,0.032609981,2.876957938,0.008499485,0.054853685,6.453765522,0.009885648,0.069140816,6.99406014,0.010222022,0.041312448,4.041514219,0.008332889,0.037862783,4.543776208,0.009216113,0.032638651,3.541476894,0.012716703,0.078007396,6.134246793,0.006748962,0.031863592,4.721258311,0.006502775,0.049682712,7.640232039,0.009034674,0.061854866,6.84638617,0.006298877,0.035372822,5.615734328,0.007624493,0.09654654,12.6626838,0.008528094,0.066498621,7.797594769,0.007654013,0.037306322,4.87408682,0.009267213,0.058216165,6.281949849,0.0076539,0.008848068,1.15602092,0.011564564,0.007004368,0.605675072,0.006610514,0.035693631,5.399524622,0.006181228,0.033891601,5.482988157,0.007463577,0.034884344,4.673944481,0.020630356,0.024263422,0.006937509,0.028496982,0.025438196,0.02726046,0.013985211,0.024986805,0.054952986,0.001757132,0.018273461,-0.0009995,0.025426748,-0.001622778,0.025603349,0.01972781,-0.013037166,-0.000916188,0.037269389,0.021960248,-0.0009995,0.027571452,0.020630356
2013/1/8,122.465,108.8901,60.9884,73.9196,76.9819,26.5279,20.0927,18.6365,22.3294,24.9674,16.8415,33.5873,22.3865,41.594,60.5379,14.9395,53.6503,21.3934,22.5715,23.6231,18.9694,17.2718,-0.002876607,-0.003353576,-0.001957191,-0.002126163,-0.000706161,-0.002886708,-0.007297287,-0.001280787,0.001309405,-0.00441024,-0.006694191,-0.013304857,-0.000366158,-0.013286964,-0.00291198,-0.005564764,-0.006499844,-0.008821431,0.003191154,-0.000693754,-0.00586959,-0.006305591,0.008998647,0.032410951,3.601758464,0.008027039,0.020926681,2.607023554,0.011303731,0.024013486,2.124385801,0.008553955,0.048488605,5.668560028,0.009917106,0.066729207,6.728697414,0.010244899,0.040175193,3.921482441,0.008554929,0.026835177,3.136808952,0.009125114,0.036316826,3.979876484,0.012722505,0.077195454,6.067630138,0.006866109,0.027312826,3.977919154,0.006771763,0.038105687,5.627144611,0.009684257,0.042682321,4.407392664,0.00631183,0.034209554,5.41991041,0.008485324,0.073158146,8.621726403,0.008405061,0.051446962,6.120950769,0.007803686,0.02777988,3.559840738,0.009366301,0.04212573,4.497584677,0.007873205,-0.003706981,-0.470835048,0.011183301,-0.003399784,-0.304005387,0.006629968,0.03387442,5.109288661,0.006369165,0.024038955,3.774271225,0.007663495,0.02733118,3.566411851,0.02522258,0.033120982,0.015071087,0.029388281,0.023746499,0.025030044,0.021026271,0.022034359,0.04769022,0.008959535,0.026322272,0.0041818,0.03644991,0.012179121,0.029989732,0.023909478,-0.01758114,0.004982343,0.033173164,0.013273083,0.004898844,0.033554101,0.02522258
2013/1/9,122.7767,109.4201,61.2176,74.2783,77.3554,26.5739,20.1009,18.5728,22.7749,25.0089,16.9483,34.0402,22.584,41.8461,61.2284,15.1372,53.6503,21.5856,22.5625,23.6889,19.1514,17.2803,0.002545217,0.004867293,0.003758092,0.00485257,0.00485179,0.001734023,0.000408108,-0.003418024,0.019951275,0.001662167,0.006341478,0.013484263,0.008822281,0.00606097,0.011406078,0.013233375,0,0.008984079,-0.000398733,0.002785409,0.009594399,0.000492132,0.008995021,0.031877449,3.543899145,0.0079868,0.019501133,2.441670308,0.011194382,0.034035667,3.04042392,0.008572148,0.050875537,5.934981314,0.009907988,0.071129974,7.179053337,0.010044704,0.049207189,4.898819039,0.008418448,0.032881147,3.905844448,0.009155304,0.035048122,3.828176886,0.012437338,0.115558124,9.291226342,0.006866391,0.027870025,4.058904383,0.006668341,0.035636812,5.34417937,0.01000085,0.053360895,5.335636132,0.006502259,0.042144462,6.481511294,0.008490791,0.0735605,8.663562154,0.008609853,0.057651548,6.695997037,0.008224206,0.040028582,4.867167012,0.009334658,0.036130129,3.870535966,0.008114177,0.003412017,0.420500723,0.010974672,0.005772746,0.526006183,0.006631399,0.036015115,5.430997841,0.006134873,0.021070366,3.434523581,0.007628747,0.029901184,3.919540648,0.022893185,0.03230566,-0.00264444,0.029829274,0.022123777,0.030473608,0.028357872,0.031531701,0.034565512,0.009494261,0.019065035,0.002070266,0.033937207,0.003603254,0.020983001,0.018066856,-0.027625089,-0.013601783,0.024442081,0.009416903,0.001921645,0.035531603,0.010124373
2013/1/10,123.7527,110.0994,61.5844,74.5495,77.5327,27.1116,20.4291,18.8275,23.3082,25.2716,17.1419,34.319,22.8884,42.2465,61.8516,15.236,54.301,21.9539,22.6523,23.8947,19.3614,17.6678,0.007949391,0.006208183,0.005991741,0.003651134,0.002292018,0.02023414,0.016327627,0.013713603,0.023416129,0.01050426,0.011422975,0.008190316,0.013478569,0.009568395,0.010178283,0.006526967,0.012128544,0.017062301,0.003980055,0.008687613,0.010965256,0.022424379,0.009097785,0.039656463,4.358914216,0.008068874,0.024428234,3.027464913,0.01123172,0.037195226,3.311623206,0.008571132,0.050737353,5.919562854,0.009907336,0.068903478,6.954793705,0.010732483,0.071731826,6.683619013,0.009013348,0.047979358,5.32314485,0.009520538,0.045554001,4.784813814,0.012739828,0.148900303,11.68777959,0.007151895,0.036341417,5.081368971,0.006998958,0.045002042,6.429820444,0.009983647,0.065397176,6.550429316,0.006966915,0.052591884,7.548805484,0.008515307,0.07432941,8.728917535,0.008521865,0.055778123,6.54529549,0.008259464,0.047637384,5.767611737,0.009558604,0.042015678,4.395587206,0.008899449,0.021648587,2.432576203,0.010941347,0.004149175,0.379219785,0.006601242,0.035451496,5.370427951,0.006489573,0.033015697,5.087498766,0.008867353,0.054051474,6.0955591,0.020531619,0.030396144,-0.003528455,0.034876316,0.027209395,0.028714497,0.035108893,0.037846245,0.030931553,0.008290181,0.011058277,0.001029415,0.025930443,-0.004681329,0.00892887,0.012461697,-0.058337025,-0.035250712,0.025924468,-0.002717828,-0.012557348,0.030444379,0.008501582
2013/1/11,123.7443,110.245,61.6669,74.5583,77.4174,27.3343,20.5768,18.9468,23.5273,25.2578,16.995,34.4235,22.9871,41.8238,61.7673,15.1524,53.9928,21.7937,22.4368,23.9112,19.1934,17.7437,-6.79E-05,0.001322441,0.001339625,0.000118042,-0.001487114,0.008214196,0.007229883,0.006336476,0.009400125,-0.000546068,-0.008569645,0.003044961,0.004312228,-0.010005563,-0.00136294,-0.005487004,-0.00567577,-0.007297109,-0.009513383,0.00069053,-0.008677058,0.004295951,0.009036162,0.032577549,3.60524198,0.008000508,0.019899347,2.487260378,0.01093182,0.02520328,2.305497279,0.008554601,0.045141439,5.276860769,0.009810398,0.056180542,5.726632453,0.010491187,0.065091686,6.204415698,0.00884857,0.043697027,4.938315384,0.009312697,0.03983316,4.277295895,0.012530105,0.140076369,11.1791858,0.007164087,0.032890997,4.591093821,0.007301255,0.02957569,4.050768257,0.009949569,0.069212181,6.956299534,0.00696882,0.052749447,7.569350974,0.008902669,0.054234451,6.091931722,0.008564674,0.051023759,5.957466716,0.008414884,0.037579775,4.465869365,0.009538399,0.02637762,2.765413878,0.00907018,0.011238197,1.239026931,0.01114286,-0.003818353,-0.34267262,0.006570421,0.031446541,4.786077334,0.006864219,0.02256272,3.287004646,0.008819629,0.051248023,5.810677785,0.019378627,0.029258222,-0.002634075,0.031354865,0.029425745,0.019492686,0.022896735,0.029629386,0.014507378,0.002825193,0.01783426,-0.017178645,0.021881758,0.002542784,0.007989795,0.012028304,-0.063417604,-0.0318262,0.033779046,-0.00272082,-0.004642942,0.030304246,0.019378627
2013/1/14,123.6601,110.3858,61.3918,74.5933,77.4617,27.3957,20.6834,19.0423,23.5346,25.1886,17.0418,34.6326,22.8801,42.024,62.0789,15.1296,53.9243,21.7457,22.8139,23.9688,19.0674,17.6341,-0.000680435,0.001277155,-0.004461064,0.000469431,0.000572223,0.002246262,0.005180592,0.005040429,0.000310278,-0.002739748,0.002753751,0.006074339,-0.004654785,0.004786748,0.005044741,-0.001504712,-0.001268688,-0.002202471,0.01680721,0.002408913,-0.006564757,-0.00617684,0.009046725,0.031371483,3.467716942,0.007998092,0.021125399,2.641304969,0.010979609,0.022801184,2.076684421,0.008544348,0.046011827,5.385059964,0.009640245,0.062774486,6.511710342,0.010479075,0.061795336,5.897022112,0.008826542,0.042594161,4.825690416,0.0093281,0.041000858,4.39541361,0.012531992,0.127200797,10.15008626,0.007211453,0.026626942,3.69231279,0.007297342,0.029193642,4.000585824,0.009966632,0.07111907,7.135717284,0.00713978,0.04507315,6.312960621,0.008904339,0.058576373,6.578408146,0.008579718,0.05241485,6.109157821,0.0084445,0.034948388,4.138597854,0.009553405,0.02457881,2.57278017,0.009045999,0.004624496,0.511220116,0.011630193,0.019424287,1.670160327,0.006419925,0.026022114,4.053335902,0.0070336,0.012172141,1.730570391,0.009011019,0.044179299,4.902808278,0.024082937,0.03224507,0.001984884,0.033096798,0.029408345,0.01804648,0.022778406,0.028227178,0.012333467,0.014904488,0.025608389,-0.010045502,0.029537995,0.008167038,0.011467307,0.021589205,-0.049856215,-0.014979085,0.025344032,0.000371746,0.004868529,0.04005027,0.024082937
2013/1/15,123.7443,110.5413,61.0893,74.917,77.7986,27.1884,20.4455,18.9309,23.4616,25.2301,17.0284,34.528,22.8637,41.8906,61.8852,15.1372,53.5475,21.6176,22.9037,24.0182,18.9974,17.6004,0.000680899,0.001408696,-0.004927368,0.004339532,0.004349246,-0.007566881,-0.011501977,-0.005850134,-0.003101816,0.001647571,-0.000786302,-0.003020276,-0.00071678,-0.003174377,-0.003120223,0.000502327,-0.006987573,-0.00589082,0.003936197,0.002061013,-0.003671187,-0.00191107,0.008879532,0.038442173,4.329301882,0.007869551,0.027916332,3.547385743,0.010876791,0.025847144,2.376357567,0.008378722,0.056173122,6.704259028,0.0094021,0.074260639,7.89830315,0.010669715,0.056262189,5.273073131,0.009233628,0.034455716,3.731547054,0.009433922,0.037605235,3.986171917,0.012670685,0.120259753,9.491179714,0.007113723,0.032332375,4.545071079,0.007166663,0.033615384,4.69052111,0.009922849,0.072458006,7.30213763,0.007130543,0.045522722,6.384187219,0.008730582,0.062687249,7.180191245,0.008248427,0.059085067,7.163191714,0.008230523,0.04246381,5.159309003,0.009696853,0.013648453,1.407513607,0.009131381,-0.003461994,-0.3791315,0.011201827,0.0367465,3.280402479,0.006266161,0.033169729,5.293468543,0.007083636,0.006266189,0.884600532,0.009042874,0.042183799,4.664866627,0.019378627,0.027313616,0.004848375,0.024783266,0.012658033,0.0252428,0.033477267,0.030494169,0.010194844,0.012684733,0.022496524,0.003033768,0.031351343,0.000238203,0.007837069,0.020574718,-0.048280269,-0.009881517,0.023277961,-0.005108936,0.014460834,0.04490807,0.019378627
